"codigo_viagem";"empresa";"nu_linha";"onibus";"tipo_viagem";"sentido_linha";"in_transbordo";"origem";"origem_uf";"destino";"destino_uf";"lat";"lon";"pdop";"data_viagem_programada";"data_inicio_viagem";"data_fim_viagem"
"554e2d76";"7980c0ae";"83ed87ea";"3b3307d2";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738728;-43,37421;0;2019-01-01 05:30:00;2019-01-01 05:28:27;2019-01-01 06:52:04
"c5f130e7";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116059;-43,198193;0;2019-01-01 05:30:00;2019-01-01 05:30:01;2019-01-01 06:53:37
"09644e23";"7980c0ae";"83ed87ea";"3b3307d2";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116022;-43,198081;0;2019-01-01 07:30:00;2019-01-01 07:29:41;2019-01-01 08:52:25
"7e637eb5";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738783;-43,374027;0;2019-01-01 07:30:00;2019-01-01 07:30:50;2019-01-01 08:58:33
"99db53b2";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116213;-43,200547;0;2019-01-01 08:45:00;2019-01-01 08:32:36;2019-01-01 10:14:54
"fe711e4e";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116056;-43,198183;0;2019-01-01 10:30:00;2019-01-01 10:31:11;2019-01-01 12:07:26
"89762ed8";"7980c0ae";"83ed87ea";"fff5074b";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116076;-43,198209;0;2019-01-01 10:30:00;2019-01-01 10:31:29;2019-01-01 10:47:33
"f7c75265";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,735878;-43,395066;0;2019-01-01 12:30:00;2019-01-01 12:32:03;2019-01-01 02:11:28
"7e84c698";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,11605;-43,19824;0;2019-01-01 13:30:00;2019-01-01 01:28:17;2019-01-01 02:53:33
"e0e0533b";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,098499;-43,216799;0;2019-01-01 16:15:55;2019-01-01 04:30:21;2019-01-01 05:55:21
"07587e3c";"7980c0ae";"83ed87ea";"3a25eae3";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116187;-43,200506;0;2019-01-01 17:15:00;2019-01-01 05:15:26;2019-01-01 06:53:41
"1098c74f";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7359019;-43,3947821;0;2019-01-01 17:15:00;2019-01-01 05:16:12;2019-01-01 07:26:32
"17f50356";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,759189;-43,342933;0;2019-01-01 18:45:08;2019-01-01 06:46:07;2019-01-01 08:21:46
"1e434f7d";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,1160064;-43,1982094;0;2019-01-01 20:30:00;2019-01-01 08:33:28;2019-01-01 10:11:59
"b79f26a7";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738688;-43,374159;0;2019-01-01 20:45:19;2019-01-01 08:46:02;2019-01-01 10:21:59
"2e96771d";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7358996;-43,3950543;0;2019-01-01 22:30:00;2019-01-01 10:26:39;2019-01-02 12:18:28
"c7f5d228";"7980c0ae";"83ed87ea";"651283f4";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116044;-43,198341;0;2019-01-02 05:30:00;2019-01-02 05:30:15;2019-01-02 06:58:41
"5efc8392";"7980c0ae";"83ed87ea";"ae4930aa";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738793;-43,374188;0;2019-01-02 05:30:00;2019-01-02 05:36:56;2019-01-02 07:11:10
"b944ae95";"7980c0ae";"79c48c92";"294b1c86";"regular";"volta";"não";"BARRA MANSA";"RJ";"CARANGOLA";"MG";-20,735109;-42,031069;0;2019-01-02 05:47:25;2019-01-02 05:47:18;2019-01-02 04:01:49
"378d465c";"7980c0ae";"83ed87ea";"0f28b213";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116022;-43,198033;0;2019-01-02 07:30:00;2019-01-02 07:32:11;2019-01-02 09:06:47
"a9e9d3ff";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,739373;-43,375027;0;2019-01-02 07:30:00;2019-01-02 07:29:54;2019-01-02 09:08:56
"47e7b2d3";"7980c0ae";"83ed87ea";"8ddac9ca";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,838957;-43,374613;0;2019-01-02 08:45:00;2019-01-02 08:18:26;2019-01-02 10:50:21
"85a94425";"7980c0ae";"83ed87ea";"0f28b213";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738639;-43,374389;0;2019-01-02 10:30:00;2019-01-02 10:33:45;2019-01-02 12:12:55
"f2ae74b3";"7980c0ae";"83ed87ea";"651283f4";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116013;-43,198261;0;2019-01-02 10:30:00;2019-01-02 10:31:10;2019-01-02 12:04:52
"82c4803c";"7980c0ae";"83ed87ea";"651283f4";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738857;-43,374561;0;2019-01-02 12:30:00;2019-01-02 12:31:13;2019-01-02 02:09:24
"1bcdd186";"7980c0ae";"83ed87ea";"0f28b213";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,11629;-43,200601;0;2019-01-02 13:30:00;2019-01-02 01:30:29;2019-01-02 03:30:11
"ebb545f2";"7980c0ae";"83ed87ea";"0f28b213";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,116136;-43,198234;0;2019-01-02 16:15:00;2019-01-02 04:15:53;2019-01-02 06:16:46
"ecd881eb";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7359991;-43,3948458;0;2019-01-02 17:15:00;2019-01-02 05:12:14;2019-01-02 07:02:28
"02d6e0c7";"7980c0ae";"83ed87ea";"0f28b213";"regular";"ida";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738242;-43,373224;0;2019-01-02 18:45:00;2019-01-02 06:46:01;2019-01-02 08:37:04
"a4f4d335";"7980c0ae";"83ed87ea";"0f28b213";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-22,115931;-43,19823;0;2019-01-02 20:30:00;2019-01-02 08:42:43;2019-01-02 10:15:51
"d49e27ba";"7980c0ae";"83ed87ea";"4f585ebb";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,7358945;-43,3950339;0;2019-01-02 22:30:00;2019-01-02 10:26:23;2019-01-03 12:08:36
"a399172c";"7980c0ae";"83ed87ea";"a70775bd";"regular";"volta";"não";"TRES RIOS";"RJ";"JUIZ DE FORA";"MG";-21,738739;-43,374166;0;2019-01-03 05:30:00;2019-01-03 05:30:27;2019-01-03 06:56:11
